"782902786291662848","New POLITICO/Morning Consult poll of likely voters shows Clinton up seven in a two-way contest against Trump. ","Beijing","0.0681818181818","0.727272727273","0.5","clinton"
"782886071549857792","shell companies mentioned in the papers where is the media? Money laundering.. foundation ","Beijing","0.0","0.0","1.0","clinton"
"782884330712408064","""Enourment"" the tax benefit that the foundation uses to bastardise the $2 billion of donations from foreign donors.. ","Beijing","-0.125","0.125","0.75","clinton"
"782870988715286529","Scandal on Watch I invite Hillary supporters to challenge this panel or keep quiet. ","Beijing","0.0","0.333333333333","1.0","clinton"
"782792612176474112",": Totally. Helps to have the reality behind Trump's artifice laid bare in one handy package. Illuminating on Clint…","Beijing","0.0625","0.6125","0.75","clinton"
"782792475698003968","Totally. Helps to have the reality behind Trump's artifice laid bare in one handy package. Illuminating on Clinton too.","Beijing","0.0625","0.6125","0.75","clinton"
"782791024926003201"," Donald Trump vs. Hillary Clinton Debate Cold Open - SNL  来自 ","Beijing","-0.3","0.75","0.125","clinton"
"782738478870048768","Barbara Bush Pierce (Dubya's daughter) with Hillary Clinton aide Huma Abedin. Original tweet included ","Beijing","0.375","0.75","0.75","clinton"
"782734997513961472","Donald Trump vs. Hillary Clinton Debate Cold Open - SNL Gee, this is exactly how we rememb…  ","Beijing","-0.116666666667","0.583333333333","0.333333333333","clinton"
"782696820212371456","Such hypocrisy.... Exclusive: Clinton charities will refile tax returns, audit for other errors  via ","Beijing","-0.0625","0.4375","0.75","clinton"
"782998781709131776","You used the very same (legal) tax avoidance scheme, you fucking hypocrite.   by via ","paris","-0.133333333333","0.3875","0.75","clinton"
"782997484536815617","Trump Foundation ordered to stop soliciting donations – live ","paris","0.136363636364","0.5","1.0","clinton"
"782996152270675969","Hillary Clinton serait-elle un robot ?  ","paris","0.0","0.0","1.0","clinton"
"782995159168548864","Terror Loves Money hates Democracy Poor Boy  ","paris","-0.4","0.6","1.0","clinton"
"782994026400194560",": B.Cavalier, Chief Economist shares his analysis of the US economy :"" Fiscal policy, according to or "" ","paris","0.0","0.0","0.75","clinton"
"782991972684402688",": Clinton solidifies gains over Trump after first debate: poll  ","paris","0.25","0.333333333333","0.333333333333","clinton"
"782990158148710400","How Hillary Clinton Grappled With Bill Clinton's Infidelity, and His Accusers - New York Times ","paris","0.136363636364","0.454545454545","0.75","clinton"
"782990142361317376","How Hillary Clinton Grappled With Bill Clinton's Infidelity, and His Accusers - New York Times ","paris","0.136363636364","0.454545454545","0.75","clinton"
"782989945678036993","[] Hillary Clinton on Assange: ""Can't we just drone this guy?""  ","paris","0.0","0.0","0.234375","clinton"
"782989824617742341","Hillary Clinton serait-elle un robot ?  ","paris","0.0","0.0","1.0","clinton"
